2024-12-18 13:31:51 -> Error inserting row ['873', 'Jane Smith', '456 Oak St', '', 'Phoenix', 'NY', '', '123 Elm St', '123 Elm St', 'Los Angeles', '', 'Germany', 'Tops;Sweatshirts;Cargo', 'Small;medium']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['454', '', '789 Pine St', '456 Oak St', '', 'CA', 'Germany', '', '123 Elm St', 'Chicago', '', 'Canada', 'Tops;Sweatshirts;Cargo', 'Large']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['839', '', '123 Elm St', '789 Pine St', '', '', '', '456 Oak St', '', 'Houston', 'CA', 'USA', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['', 'Alice Johnson', '202 Birch St', '', 'Los Angeles', '', 'Australia', '', '', 'Chicago', '', 'UK', '', 'Small;medium']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['241', '', '123 Elm St', '', '', 'CA', 'USA', '456 Oak St', '202 Birch St', 'Chicago', 'IL', 'Canada', '', '']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['554', '', '', '', 'New York', '', 'USA', '202 Birch St', '789 Pine St', 'Los Angeles', '', '', 'Shirts;Pants', '']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['', 'Bob Brown', '202 Birch St', '456 Oak St', 'Los Angeles', 'CA', '', '', '123 Elm St', 'Los Angeles', 'IL', 'USA', ' ', '']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['530', 'John Doe', '101 Maple St', '', '', 'NY', 'Canada', '', '', '', 'AZ', '', '', 'Small;medium']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['247', 'Charlie Davis', '789 Pine St', '456 Oak St', 'Chicago', 'IL', 'Australia', '101 Maple St', '101 Maple St', 'New York', 'TX', '', 'Tops;Sweatshirts;Cargo', 'Small']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['779', 'Bob Brown', '202 Birch St', '123 Elm St', 'Los Angeles', '', 'Australia', '202 Birch St', '202 Birch St', '', 'IL', 'Germany', 'Shirts;Pants', '']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['779', 'John Doe', '', '101 Maple St', 'Chicago', 'AZ', 'Germany', '456 Oak St', '456 Oak St', 'Phoenix', 'CA', 'UK', ' ', 'All']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['531', 'John Doe', '', '', '', 'IL', '', '', '101 Maple St', 'New York', '', 'USA', '', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['', 'John Doe', '456 Oak St', '789 Pine St', 'Chicago', '', 'Australia', '456 Oak St', '456 Oak St', 'Houston', 'NY', '', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['413', '', '123 Elm St', '', 'Phoenix', 'AZ', '', '', '202 Birch St', 'Chicago', 'NY', 'USA', ' ', 'Small;medium']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['', 'John Doe', '', '', '', 'IL', 'USA', '789 Pine St', '202 Birch St', 'Chicago', 'IL', 'USA', 'Shirts', 'Medium']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['', '', '202 Birch St', '101 Maple St', '', 'IL', 'USA', '', '', 'Houston', '', '', 'Top;Jacket;Hoodies', 'All']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['237', '', '202 Birch St', '101 Maple St', 'Los Angeles', 'CA', 'USA', '789 Pine St', '', 'New York', 'AZ', '', '', '']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['877', 'Alice Johnson', '', '202 Birch St', 'Los Angeles', '', 'UK', '', '123 Elm St', 'New York', '', 'Germany', '', 'Small;medium']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['860', 'Jane Smith', '', '101 Maple St', 'Chicago', 'AZ', 'Germany', '202 Birch St', '202 Birch St', '', 'AZ', '', '', '']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['463', 'Bob Brown', '202 Birch St', '', '', 'IL', '', '', '789 Pine St', '', 'IL', 'UK', 'Tops;Sweatshirts;Cargo', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['269', 'Charlie Davis', '', '789 Pine St', '', '', 'UK', '789 Pine St', '202 Birch St', '', '', '', 'Tops;Sweatshirts;Cargo', 'Small']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['529', 'Jane Smith', '456 Oak St', '123 Elm St', '', 'IL', 'Australia', '456 Oak St', '', '', '', '', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['727', '', '123 Elm St', '123 Elm St', 'Phoenix', 'NY', 'UK', '789 Pine St', '202 Birch St', 'Chicago', '', 'Australia', '', '']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['891', 'John Doe', '', '123 Elm St', 'Phoenix', 'IL', 'Germany', '123 Elm St', '', '', '', '', '', '']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['546', 'Jane Smith', '789 Pine St', '789 Pine St', '', 'TX', '', '123 Elm St', '123 Elm St', 'Houston', 'IL', '', 'Shirts', 'All']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['107', '', '202 Birch St', '', 'Phoenix', 'NY', '', '', '789 Pine St', '', 'CA', 'UK', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['452', 'Jane Smith', '202 Birch St', '202 Birch St', 'New York', '', 'Canada', '202 Birch St', '123 Elm St', 'Los Angeles', 'IL', 'USA', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['678', 'Charlie Davis', '', '789 Pine St', 'Phoenix', '', 'Canada', '789 Pine St', '', 'New York', 'IL', 'Canada', 'Shirts;Pants', '']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['358', 'Alice Johnson', '789 Pine St', '789 Pine St', 'Chicago', 'AZ', 'Germany', '', '456 Oak St', 'Phoenix', 'IL', 'Germany', 'Tops;Sweatshirts;Cargo', '']: Row contains None or empty values
2024-12-19 14:43:43 -> Error inserting row ['251', 'Charlie Davis', '', '101 Maple St', '', 'AZ', 'Germany', '123 Elm St', '101 Maple St', '', 'TX', 'Australia', 'Tops;Sweatshirts;Cargo', '']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['779', 'John Doe', '', '101 Maple St', 'Chicago', 'AZ', 'Germany', '456 Oak St', '456 Oak St', 'Phoenix', 'CA', 'UK', ' ', 'All']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['531', 'John Doe', '', '', '', 'IL', '', '', '101 Maple St', 'New York', '', 'USA', '', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['', 'John Doe', '456 Oak St', '789 Pine St', 'Chicago', '', 'Australia', '456 Oak St', '456 Oak St', 'Houston', 'NY', '', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['413', '', '123 Elm St', '', 'Phoenix', 'AZ', '', '', '202 Birch St', 'Chicago', 'NY', 'USA', ' ', 'Small;medium']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['', 'John Doe', '', '', '', 'IL', 'USA', '789 Pine St', '202 Birch St', 'Chicago', 'IL', 'USA', 'Shirts', 'Medium']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['', '', '202 Birch St', '101 Maple St', '', 'IL', 'USA', '', '', 'Houston', '', '', 'Top;Jacket;Hoodies', 'All']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['237', '', '202 Birch St', '101 Maple St', 'Los Angeles', 'CA', 'USA', '789 Pine St', '', 'New York', 'AZ', '', '', '']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['877', 'Alice Johnson', '', '202 Birch St', 'Los Angeles', '', 'UK', '', '123 Elm St', 'New York', '', 'Germany', '', 'Small;medium']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['860', 'Jane Smith', '', '101 Maple St', 'Chicago', 'AZ', 'Germany', '202 Birch St', '202 Birch St', '', 'AZ', '', '', '']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['463', 'Bob Brown', '202 Birch St', '', '', 'IL', '', '', '789 Pine St', '', 'IL', 'UK', 'Tops;Sweatshirts;Cargo', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['269', 'Charlie Davis', '', '789 Pine St', '', '', 'UK', '789 Pine St', '202 Birch St', '', '', '', 'Tops;Sweatshirts;Cargo', 'Small']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['529', 'Jane Smith', '456 Oak St', '123 Elm St', '', 'IL', 'Australia', '456 Oak St', '', '', '', '', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['727', '', '123 Elm St', '123 Elm St', 'Phoenix', 'NY', 'UK', '789 Pine St', '202 Birch St', 'Chicago', '', 'Australia', '', '']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['891', 'John Doe', '', '123 Elm St', 'Phoenix', 'IL', 'Germany', '123 Elm St', '', '', '', '', '', '']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['546', 'Jane Smith', '789 Pine St', '789 Pine St', '', 'TX', '', '123 Elm St', '123 Elm St', 'Houston', 'IL', '', 'Shirts', 'All']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['107', '', '202 Birch St', '', 'Phoenix', 'NY', '', '', '789 Pine St', '', 'CA', 'UK', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['452', 'Jane Smith', '202 Birch St', '202 Birch St', 'New York', '', 'Canada', '202 Birch St', '123 Elm St', 'Los Angeles', 'IL', 'USA', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['678', 'Charlie Davis', '', '789 Pine St', 'Phoenix', '', 'Canada', '789 Pine St', '', 'New York', 'IL', 'Canada', 'Shirts;Pants', '']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['358', 'Alice Johnson', '789 Pine St', '789 Pine St', 'Chicago', 'AZ', 'Germany', '', '456 Oak St', 'Phoenix', 'IL', 'Germany', 'Tops;Sweatshirts;Cargo', '']: Row contains None or empty values
2024-12-19 14:43:44 -> Error inserting row ['251', 'Charlie Davis', '', '101 Maple St', '', 'AZ', 'Germany', '123 Elm St', '101 Maple St', '', 'TX', 'Australia', 'Tops;Sweatshirts;Cargo', '']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['183', 'Bob Brown', '202 Birch St', '202 Birch St', 'Phoenix', '', '', '', '', 'Houston', '', '', '', 'Large']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['962', 'Jane Smith', '456 Oak St', '202 Birch St', 'Chicago', 'NY', 'UK', '456 Oak St', '202 Birch St', 'New York', '', 'USA', ' ', 'Small']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['760', 'Alice Johnson', '101 Maple St', '101 Maple St', 'Houston', 'TX', 'UK', '456 Oak St', '', 'Chicago', 'TX', 'Germany', 'Shirts', 'All']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['975', 'Alice Johnson', '101 Maple St', '789 Pine St', 'Houston', 'TX', 'Australia', '202 Birch St', '202 Birch St', 'New York', 'TX', 'Canada', '', 'Medium']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['309', 'Jane Smith', '202 Birch St', '456 Oak St', 'Chicago', 'CA', 'Australia', '789 Pine St', '789 Pine St', 'Chicago', 'AZ', '', 'Shirts;Pants', '']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['738', 'Alice Johnson', '789 Pine St', '456 Oak St', 'Phoenix', 'NY', '', '123 Elm St', '456 Oak St', 'Chicago', 'AZ', '', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['179', '', '101 Maple St', '101 Maple St', 'Houston', 'NY', '', '202 Birch St', '', 'Phoenix', 'TX', 'USA', 'Tops;Sweatshirts;Cargo', 'All']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['529', 'Bob Brown', '101 Maple St', '101 Maple St', 'Houston', 'IL', 'USA', '789 Pine St', '', 'Phoenix', 'IL', 'Canada', ' ', 'Medium']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['188', 'Jane Smith', '456 Oak St', '101 Maple St', 'Chicago', 'TX', 'USA', '', '202 Birch St', '', '', 'USA', '', 'Large']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['787', 'Alice Johnson', '101 Maple St', '123 Elm St', 'Houston', 'IL', 'Canada', '202 Birch St', '789 Pine St', 'Los Angeles', '', 'Germany', 'Top;Jacket;Hoodies', 'Large']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['211', 'Alice Johnson', '456 Oak St', '101 Maple St', 'New York', 'AZ', '', '', '789 Pine St', 'Phoenix', 'IL', 'USA', 'Shirts;Pants', 'All']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['381', 'Bob Brown', '', '202 Birch St', 'New York', 'NY', '', '101 Maple St', '202 Birch St', 'Chicago', 'CA', 'USA', '', 'Medium']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['558', 'Bob Brown', '123 Elm St', '', 'Phoenix', 'AZ', 'Australia', '456 Oak St', '789 Pine St', 'Phoenix', 'IL', 'USA', 'Shirts', 'Medium']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['990', '', '202 Birch St', '101 Maple St', '', 'CA', 'Canada', '202 Birch St', '789 Pine St', 'Houston', 'NY', 'Australia', 'Top;Jacket;Hoodies', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['895', '', '', '123 Elm St', '', 'IL', '', '789 Pine St', '123 Elm St', 'Houston', 'NY', 'Germany', 'Shirts', 'Large']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['142', '', '789 Pine St', '101 Maple St', 'Los Angeles', 'TX', 'Canada', '123 Elm St', '789 Pine St', 'New York', 'AZ', 'Canada', '', '']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['', 'Jane Smith', '', '', '', 'NY', 'Canada', '202 Birch St', '456 Oak St', 'Los Angeles', '', 'Germany', '', 'All']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['523', '', '', '202 Birch St', 'Chicago', 'NY', '', '', '', '', 'CA', 'Canada', ' ', 'Small']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['370', 'Charlie Davis', '', '456 Oak St', '', 'IL', 'Australia', '101 Maple St', '123 Elm St', '', 'TX', 'Germany', 'Shirts', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:48:21 -> Error inserting row ['', 'John Doe', '', '101 Maple St', '', 'AZ', 'Canada', '123 Elm St', '', '', 'TX', '', ' ', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['136', 'Bob Brown', '101 Maple St', '202 Birch St', 'Phoenix', 'AZ', 'Canada', '123 Elm St', '', 'Phoenix', 'NY', '', '', 'Medium']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['', '', '', '456 Oak St', 'Houston', 'TX', 'UK', '101 Maple St', '', 'Los Angeles', 'AZ', 'USA', 'Top;Jacket;Hoodies', 'All']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['244', '', '456 Oak St', '101 Maple St', 'Houston', 'NY', 'USA', '123 Elm St', '', 'Houston', 'TX', 'Germany', '', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['470', 'Bob Brown', '101 Maple St', '456 Oak St', '', 'IL', '', '202 Birch St', '', '', 'CA', 'Australia', 'Shirts;Pants', '']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['725', '', '123 Elm St', '789 Pine St', '', 'TX', 'Australia', '101 Maple St', '202 Birch St', 'New York', '', 'Canada', 'Top;Jacket;Hoodies', 'All']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['496', 'John Doe', '101 Maple St', '202 Birch St', 'New York', 'AZ', 'Australia', '789 Pine St', '789 Pine St', 'Los Angeles', 'AZ', 'USA', '', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['521', '', '456 Oak St', '202 Birch St', 'Los Angeles', 'NY', 'USA', '456 Oak St', '', '', 'AZ', 'Germany', 'Shirts', 'Small;medium']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['743', 'Alice Johnson', '789 Pine St', '456 Oak St', '', '', 'UK', '123 Elm St', '', 'Phoenix', '', 'Australia', 'Shirts;Pants', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['763', 'Jane Smith', '123 Elm St', '789 Pine St', 'New York', '', 'Canada', '456 Oak St', '', '', 'CA', '', 'Tops;Sweatshirts;Cargo', '']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['270', 'Bob Brown', '', '456 Oak St', '', '', '', '', '101 Maple St', '', 'TX', 'Canada', 'Shirts;Pants', 'Small;medium']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['129', 'Charlie Davis', '123 Elm St', '456 Oak St', 'Houston', 'CA', 'Canada', '101 Maple St', '789 Pine St', '', 'CA', 'USA', 'Top;Jacket;Hoodies', 'Large']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['884', '', '123 Elm St', '', '', 'AZ', 'USA', '202 Birch St', '', 'Houston', 'TX', '', 'Shirts;Pants', '']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['623', 'John Doe', '', '', 'Los Angeles', 'TX', 'USA', '202 Birch St', '', '', 'CA', '', '', '']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['412', 'Bob Brown', '202 Birch St', '789 Pine St', '', 'CA', 'UK', '', '101 Maple St', '', 'TX', '', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['687', 'John Doe', '789 Pine St', '789 Pine St', '', 'TX', 'USA', '456 Oak St', '789 Pine St', 'Los Angeles', '', '', '', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['', 'John Doe', '123 Elm St', '123 Elm St', '', 'TX', 'Germany', '', '123 Elm St', 'Houston', '', '', ' ', '']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['', '', '', '101 Maple St', '', 'AZ', 'Canada', '', '456 Oak St', '', 'IL', 'Australia', 'Tops;Sweatshirts;Cargo', '']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['', 'Charlie Davis', '202 Birch St', '', '', 'NY', 'Canada', '', '101 Maple St', 'Los Angeles', '', 'Germany', ' ', 'Small;medium']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['251', 'Alice Johnson', '', '', 'Chicago', 'IL', 'Canada', '', '456 Oak St', 'Phoenix', 'NY', 'Australia', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:52:20 -> Error inserting row ['', 'Jane Smith', '', '202 Birch St', 'New York', 'IL', 'Canada', '101 Maple St', '202 Birch St', '', 'IL', '', 'Shirts', 'Medium']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['', '', '101 Maple St', '', 'New York', 'IL', 'Australia', '202 Birch St', '', 'Chicago', 'IL', 'Canada', '', '']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['576', 'Alice Johnson', '456 Oak St', '', '', '', 'Australia', '123 Elm St', '456 Oak St', 'Los Angeles', 'CA', 'UK', ' ', 'Medium']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['', 'Bob Brown', '123 Elm St', '101 Maple St', 'Phoenix', '', 'UK', '202 Birch St', '101 Maple St', 'Phoenix', 'NY', 'Canada', '', 'Medium']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['985', 'Alice Johnson', '', '', '', 'CA', 'UK', '', '202 Birch St', 'Chicago', 'IL', 'Germany', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['341', '', '', '123 Elm St', '', 'TX', 'USA', '202 Birch St', '202 Birch St', '', 'NY', 'USA', 'Top;Jacket;Hoodies', 'Small']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['', 'John Doe', '456 Oak St', '202 Birch St', 'Chicago', 'TX', 'Canada', '202 Birch St', '202 Birch St', '', 'AZ', 'UK', '', 'Medium']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['564', '', '', '456 Oak St', '', '', '', '789 Pine St', '202 Birch St', 'Chicago', '', 'Canada', 'Tops;Sweatshirts;Cargo', '']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['363', 'Alice Johnson', '456 Oak St', '789 Pine St', 'New York', 'IL', 'Germany', '202 Birch St', '123 Elm St', 'Houston', 'TX', '', 'Shirts', 'Small']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['875', 'John Doe', '789 Pine St', '', 'New York', 'TX', '', '456 Oak St', '789 Pine St', '', '', 'USA', '', '']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['', 'Bob Brown', '', '123 Elm St', 'Phoenix', '', 'USA', '202 Birch St', '456 Oak St', 'New York', 'IL', '', '', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['670', '', '202 Birch St', '789 Pine St', 'New York', 'NY', 'Australia', '', '101 Maple St', 'Los Angeles', 'AZ', 'Germany', 'Tops;Sweatshirts;Cargo', 'Large']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['', '', '789 Pine St', '101 Maple St', 'Houston', 'IL', 'Canada', '123 Elm St', '202 Birch St', 'Phoenix', 'TX', '', 'Shirts;Pants', 'Small;medium']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['', 'Bob Brown', '456 Oak St', '123 Elm St', 'Chicago', '', 'Canada', '202 Birch St', '', 'New York', 'IL', 'Australia', 'Top;Jacket;Hoodies', 'Small']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['359', 'John Doe', '456 Oak St', '202 Birch St', 'Houston', '', 'Australia', '202 Birch St', '789 Pine St', 'Houston', 'AZ', 'Australia', 'Tops;Sweatshirts;Cargo', 'All']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['725', 'John Doe', '', '456 Oak St', '', '', 'Australia', '', '101 Maple St', '', 'IL', 'Canada', 'Shirts;Pants', 'Small']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['432', '', '202 Birch St', '789 Pine St', 'Los Angeles', 'NY', 'UK', '101 Maple St', '456 Oak St', 'Houston', 'NY', 'UK', ' ', 'Medium']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['241', '', '', '123 Elm St', 'Phoenix', 'AZ', 'USA', '789 Pine St', '101 Maple St', 'Phoenix', 'IL', 'Germany', 'Shirts;Pants', 'Medium']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['907', 'Bob Brown', '', '123 Elm St', '', 'TX', 'Australia', '101 Maple St', '456 Oak St', '', 'CA', '', 'Shirts', 'All']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['820', 'Alice Johnson', '789 Pine St', '456 Oak St', 'Phoenix', '', 'Canada', '202 Birch St', '', 'Houston', 'CA', 'Germany', '', 'Medium']: Row contains None or empty values
2024-12-19 14:52:47 -> Error inserting row ['', '', '', '789 Pine St', '', 'NY', '', '789 Pine St', '456 Oak St', 'New York', 'TX', 'Canada', 'Shirts', 'All']: Row contains None or empty values
